country,year,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians
Akrotiri and Dhekelia,2018,1,0,183.0,0,0,1,0,0,0
Akrotiri and Dhekelia,2019,1,0,0.0,0,0,0,0,1,0
Akrotiri and Dhekelia,2020,1,0,0.0,0,0,0,0,1,0
Akrotiri and Dhekelia,2021,3,0,731.0,0,0,2,1,0,0
Akrotiri and Dhekelia,2022,2,0,282.0,0,0,2,0,0,0
Akrotiri and Dhekelia,2023,2,0,82.0,0,0,1,0,1,0
Akrotiri and Dhekelia,2024,4,0,394.0,0,0,2,0,2,0
Albania,2018,244,1,4110400.0,1,3,211,26,2,1
Albania,2019,351,0,6413376.0,0,1,240,93,13,4
Albania,2020,226,0,3156276.0,0,1,205,14,3,3
Albania,2021,175,1,3182823.0,1,2,146,14,6,6
Albania,2022,159,0,2007215.0,1,1,149,3,3,2
Albania,2023,104,1,1878966.0,0,0,95,3,1,5
Albania,2024,83,1,2756730.0,0,1,63,14,0,5
Andorra,2020,7,0,74308.0,0,0,5,0,1,1
Andorra,2021,6,0,72671.0,0,0,6,0,0,0
Andorra,2022,4,0,57240.0,0,0,4,0,0,0
Andorra,2023,8,0,103463.0,0,0,8,0,0,0
Andorra,2024,2,0,28910.0,0,0,2,0,0,0
Armenia,2018,1746,6,6151401.0,1308,36,350,26,15,11
Armenia,2019,1690,2,4402540.0,1263,97,305,16,4,5
Armenia,2020,1573,27,4171911.0,1097,130,316,15,12,3
Armenia,2021,495,24,5029289.0,95,4,363,18,13,2
Armenia,2022,587,217,3947957.0,97,43,415,5,22,5
Armenia,2023,427,24,2605961.0,107,3,294,4,6,13
Armenia,2024,371,4,2539327.0,19,5,337,2,6,2
Austria,2019,1,0,5249.0,0,0,1,0,0,0
Austria,2020,367,6,3064453.0,0,0,345,7,9,6
Austria,2021,585,0,4020203.0,1,0,560,22,2,0
Austria,2022,317,0,2500068.0,0,0,297,14,4,2
Austria,2023,442,0,3448198.0,0,0,429,7,5,1
Austria,2024,304,0,2294643.0,0,0,286,6,12,0
Azerbaijan,2018,8370,47,8679707.0,8263,9,62,2,24,10
Azerbaijan,2019,4434,14,5869239.0,4345,7,58,0,17,7
Azerbaijan,2020,4154,7057,8699231.0,3607,407,72,7,50,11
Azerbaijan,2021,331,33,2410430.0,139,56,115,2,8,11
Azerbaijan,2022,531,68,1738394.0,313,57,128,1,16,16
Azerbaijan,2023,799,570,2273484.0,436,75,179,1,54,54
Azerbaijan,2024,163,2,285914.0,52,24,17,0,70,0
Bailiwick of Guernsey,2020,6,0,59478.0,0,0,6,0,0,0
Bailiwick of Guernsey,2021,3,0,29964.0,0,0,3,0,0,0
Bailiwick of Guernsey,2022,2,0,20156.0,0,0,2,0,0,0
Bailiwick of Guernsey,2024,1,0,10251.0,0,0,1,0,0,0
Bailiwick of Jersey,2020,5,0,81075.0,0,0,5,0,0,0
Bailiwick of Jersey,2021,8,0,97905.0,0,0,8,0,0,0
Belarus,2018,121,0,898306.0,0,0,103,2,9,7
Belarus,2019,186,0,1194638.0,1,0,169,0,10,6
Belarus,2020,1842,6,7389401.0,1,0,1746,19,29,47
Belarus,2021,1486,5,4997537.0,1,2,1388,2,57,36
Belarus,2022,205,4,2062700.0,1,4,82,0,69,49
Belarus,2023,70,2,701065.0,1,2,5,0,40,22
Belarus,2024,130,2,333570.0,0,3,1,0,108,18
Belgium,2019,2,0,11187.0,0,0,2,0,0,0
Belgium,2020,813,0,5357040.0,0,0,782,23,6,2
Belgium,2021,851,2,5410368.0,1,0,837,12,1,0
Belgium,2022,553,3,4212835.0,2,0,526,19,5,1
Belgium,2023,723,4,4395590.0,1,0,689,22,8,3
Belgium,2024,875,0,5547346.0,0,0,830,23,21,1
Bosnia-Herzegovina,2018,282,1,2494964.0,1,16,216,13,26,10
Bosnia-Herzegovina,2019,183,1,2011758.0,0,10,142,8,8,15
Bosnia-Herzegovina,2020,147,0,1006907.0,0,1,135,2,6,3
Bosnia-Herzegovina,2021,143,0,970021.0,0,0,135,3,4,1
Bosnia-Herzegovina,2022,169,1,1052086.0,0,0,151,3,11,4
Bosnia-Herzegovina,2023,142,0,936759.0,0,0,132,4,1,5
Bosnia-Herzegovina,2024,162,14,995301.0,2,2,132,1,13,12
Bulgaria,2018,363,0,2850913.0,0,0,353,9,1,0
Bulgaria,2019,399,0,3085379.0,0,0,379,8,8,4
Bulgaria,2020,913,0,5707841.0,0,0,872,29,9,3
Bulgaria,2021,506,0,3229591.0,0,0,485,9,11,1
Bulgaria,2022,614,2,3841724.0,0,0,609,3,2,0
Bulgaria,2023,577,0,3713882.0,0,0,575,1,1,0
Bulgaria,2024,543,0,3288800.0,0,0,537,1,3,2
Croatia,2018,183,0,1615202.0,0,7,164,3,5,4
Croatia,2019,234,3,3109451.0,0,10,206,5,1,12
Croatia,2020,141,0,1117655.0,0,0,131,3,0,7
Croatia,2021,188,1,1045720.0,0,1,173,6,5,3
Croatia,2022,113,0,638962.0,0,0,111,0,2,0
Croatia,2023,133,0,765754.0,0,0,132,0,0,1
Croatia,2024,228,15,1146350.0,1,0,198,5,15,9
Cyprus,2018,102,1,831130.0,0,1,87,8,4,2
Cyprus,2019,215,1,1433243.0,0,2,180,6,23,4
Cyprus,2020,270,0,1732154.0,0,3,221,21,23,2
Cyprus,2021,364,0,1812725.0,1,3,326,15,15,4
Cyprus,2022,463,1,1988402.0,1,2,388,31,34,7
Cyprus,2023,358,5,2520218.0,1,8,247,24,68,10
Cyprus,2024,326,3,2317091.0,1,3,190,40,86,6
Czechia,2020,227,0,962078.0,1,0,217,5,3,1
Czechia,2021,260,1,1049318.0,0,0,253,4,1,2
Czechia,2022,423,0,1038268.0,1,0,301,3,118,0
Czechia,2023,247,0,1066324.0,0,0,226,10,5,6
Czechia,2024,236,0,888702.0,0,0,224,2,9,1
Denmark,2019,1,0,60.0,0,0,1,0,0,0
Denmark,2020,603,1,2870616.0,4,0,560,27,8,4
Denmark,2021,850,0,2771338.0,0,0,828,5,15,2
Denmark,2022,388,0,1698340.0,0,0,375,3,10,0
Denmark,2023,516,0,1859853.0,0,0,511,1,4,0
Denmark,2024,377,0,1733877.0,0,2,364,2,8,1
Estonia,2019,1,0,5484.0,0,0,1,0,0,0
Estonia,2020,142,0,366924.0,0,0,142,0,0,0
Estonia,2021,114,1,348526.0,0,0,111,1,1,1
Estonia,2022,76,0,258628.0,0,0,74,0,2,0
Estonia,2023,28,0,130981.0,0,0,26,0,2,0
Estonia,2024,30,0,98066.0,0,0,26,0,4,0
Faroe Islands,2020,2,0,5334.0,0,0,1,1,0,0
Faroe Islands,2022,1,0,0.0,0,0,0,0,1,0
Faroe Islands,2023,1,0,1154.0,0,0,1,0,0,0
Faroe Islands,2024,3,0,3540.0,0,0,3,0,0,0
Finland,2020,249,1,448865.0,0,2,217,6,21,3
Finland,2021,268,1,427361.0,0,0,258,5,4,1
