country,year,milex_constant_usd_m,milex_share_gdp,sipri_available,country_code,wb_milex_pct_gdp,worldbank_available,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians,acled_available,gdp_pct,nato_2pct_threshold,conflict_zone
Akrotiri and Dhekelia,2018,,,0,,,0,1.0,0.0,183.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,Other
Akrotiri and Dhekelia,2019,,,0,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,0,Other
Akrotiri and Dhekelia,2020,,,0,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,0,Other
Akrotiri and Dhekelia,2021,,,0,,,0,3.0,0.0,731.0,0.0,0.0,2.0,1.0,0.0,0.0,1,,0,Other
Akrotiri and Dhekelia,2022,,,0,,,0,2.0,0.0,282.0,0.0,0.0,2.0,0.0,0.0,0.0,1,,0,Other
Akrotiri and Dhekelia,2023,,,0,,,0,2.0,0.0,82.0,0.0,0.0,1.0,0.0,1.0,0.0,1,,0,Other
Akrotiri and Dhekelia,2024,,,0,,,0,4.0,0.0,394.0,0.0,0.0,2.0,0.0,2.0,0.0,1,,0,Other
Albania,2018,220.58752103688323,1.1605447850506827,1,ALB,1.16054478505068,1,244.0,1.0,4110400.0,1.0,3.0,211.0,26.0,2.0,1.0,1,1.1605447850506827,0,Other
Albania,2019,248.15046850803577,1.2808059620147156,1,ALB,1.28080596201472,1,351.0,0.0,6413376.0,0.0,1.0,240.0,93.0,13.0,4.0,1,1.2808059620147156,0,Other
Albania,2020,240.5638704753821,1.2958357026973877,1,ALB,1.29583570269739,1,226.0,0.0,3156276.0,0.0,1.0,205.0,14.0,3.0,3.0,1,1.2958357026973877,0,Other
Albania,2021,254.78962415338404,1.2429880839606686,1,ALB,1.24298808396067,1,175.0,1.0,3182823.0,1.0,2.0,146.0,14.0,6.0,6.0,1,1.2429880839606686,0,Other
